WIN,REST_DIFF,CUM_WIN_PCT_DIFF,MIN_DIFF,FGM_DIFF,FGA_DIFF,FG_PCT_DIFF,FG3M_DIFF,FG3A_DIFF,FG3_PCT_DIFF,FTM_DIFF,FTA_DIFF,FT_PCT_DIFF,OREB_DIFF,DREB_DIFF,REB_DIFF,AST_DIFF,STL_DIFF,BLK_DIFF,TOV_DIFF,PF_DIFF,PTS_DIFF,PLUS_MINUS_DIFF,OFF_RATING_DIFF
1,0.0,1.0,12.5,3.5,0.5,0.04049999999999998,-6.0,-11.0,-0.03500000000000003,1.0,6.5,-0.23699999999999988,4.5,12.0,16.5,-3.0,-0.5,7.5,-1.5,-2.5,2.0,31.5,4.796059763196894
1,0.0,0.0,0.0,-1.0,-9.5,0.04849999999999993,0.5,-1.0,0.041000000000000036,-6.5,-6.5,-0.051000000000000045,4.0,-1.0,3.0,2.5,-1.5,1.5,-0.5,-2.5,-8.0,-5.0,11.084065243915433
1,1.0,0.5,-25.0,0.5,-10.0,0.05599999999999994,0.5,-7.5,0.09500000000000008,-6.5,-9.0,0.008500000000000063,1.5,-8.5,-7.0,-0.5,3.0,2.0,2.0,-1.0,-5.0,8.5,9.582386535589421
1,0.0,-0.5,0.0,-6.5,-10.0,-0.015000000000000013,2.5,2.0,0.04150000000000004,4.0,4.5,0.015999999999999903,-3.5,-11.0,-14.5,-1.5,2.5,-1.0,2.5,-1.5,-6.5,-10.0,-3.87502065863562
1,0.0,-0.5,0.0,-13.5,-4.5,-0.12849999999999995,1.0,1.5,0.03799999999999998,-1.5,-4.0,0.051000000000000045,-2.0,-3.0,-5.0,-9.0,-2.0,0.0,1.0,-4.5,-27.5,-28.5,-22.155425333864912
1,0.0,0.5,0.0,4.5,7.0,0.016000000000000014,-1.5,-12.0,0.05249999999999999,0.0,4.0,-0.10400000000000009,5.0,2.5,7.5,10.0,-1.5,5.0,0.5,3.5,7.5,5.5,3.1538548387662786
0,0.0,0.3333333333333333,0.0,2.0,-14.0,0.10566666666666663,-4.0,-10.333333333333332,-0.021666666666666612,1.3333333333333321,4.0000000000000036,-0.08733333333333337,-3.666666666666666,5.333333333333336,1.6666666666666714,-1.3333333333333321,-4.333333333333333,-0.666666666666667,-0.6666666666666679,-2.666666666666668,1.3333333333333286,2.0,11.658392194121504
1,2.0,0.0,25.0,-3.1666666666666643,-0.3333333333333286,-0.03350000000000003,-5.833333333333332,-14.5,0.0044999999999999485,13.666666666666668,17.833333333333332,-0.07666666666666677,5.5,6.333333333333332,11.833333333333336,-6.666666666666668,1.333333333333334,2.5,3.166666666666668,-3.666666666666668,1.5,9.833333333333334,-3.4975213955405877
1,0.0,0.6666666666666667,0.0,2.3333333333333357,1.0,0.020999999999999963,9.0,11.666666666666668,0.15433333333333338,-2.666666666666668,-4.0,0.008666666666666711,-1.5,-6.5,-8.0,7.333333333333332,-1.166666666666667,-0.5,-4.5,0.33333333333333215,11.0,6.5,14.446489512995768
0,-1.0,-0.6666666666666667,-33.333333333333314,-4.333333333333336,-12.0,0.01200000000000001,-2.666666666666668,-14.333333333333336,0.0646666666666667,-3.6666666666666643,-1.0,-0.08233333333333326,-1.666666666666666,-3.0,-4.666666666666671,2.666666666666668,-1.0,2.0,6.0,-3.333333333333332,-15.0,-19.0,-9.386132360973875
1,1.0,0.0,8.333333333333343,0.0,-5.0,0.020999999999999963,4.0,1.3333333333333286,0.08600000000000002,-2.333333333333332,-3.3333333333333357,0.0050000000000000044,1.0,-2.6666666666666643,-1.6666666666666643,2.0,4.666666666666667,-3.3333333333333335,3.333333333333334,-1.6666666666666643,1.6666666666666714,-1.0,5.658235457450587
0,2.0,0.0,12.5,4.833333333333336,8.5,0.011333333333333306,-3.666666666666666,-14.5,0.03150000000000003,5.0,8.333333333333332,-0.03283333333333338,6.5,0.5,7.0,4.666666666666668,0.6666666666666661,-2.833333333333333,2.0,-0.8333333333333321,11.0,0.666666666666667,2.779088388431518
1,0.0,0.6666666666666667,8.333333333333343,-3.6666666666666714,-5.666666666666657,-0.006000000000000005,1.0,1.6666666666666679,0.034999999999999976,-0.33333333333333215,1.6666666666666679,-0.06499999999999995,2.0,3.3333333333333357,5.333333333333336,-8.333333333333332,-2.333333333333333,5.0,-0.6666666666666679,-2.0,-6.666666666666671,14.666666666666666,2.3333702328934436
0,-1.0,0.16666666666666663,-12.5,-6.333333333333336,-3.5,-0.05183333333333323,0.16666666666666607,-1.8333333333333357,0.03666666666666668,-5.5,-0.6666666666666679,-0.18066666666666664,3.666666666666666,-2.333333333333332,1.3333333333333357,-10.166666666666668,-3.333333333333333,3.166666666666667,0.5,4.166666666666668,-18.0,-11.333333333333334,-9.306440271161193
0,0.0,0.0,0.0,0.3333333333333357,8.333333333333329,-0.04033333333333339,-5.666666666666666,-10.333333333333329,-0.05833333333333335,0.0,-1.0,0.017333333333333423,7.999999999999999,4.333333333333332,12.333333333333329,0.3333333333333357,-3.666666666666666,5.0,-1.666666666666666,6.0,-5.0,0.6666666666666667,-2.905604864326804
1,0.0,0.6666666666666667,0.0,1.0,-1.6666666666666714,0.02033333333333337,-0.8333333333333339,-5.833333333333336,0.044499999999999984,1.6666666666666679,1.8333333333333321,0.02533333333333332,-0.16666666666666607,8.166666666666668,8.0,2.166666666666668,1.833333333333333,-0.33333333333333304,2.666666666666668,1.8333333333333321,2.8333333333333286,19.0,0.6937797118915086
1,1.0,0.16666666666666669,0.0,3.0,-4.5,0.057999999999999996,0.6666666666666661,-1.1666666666666643,0.026833333333333376,-1.1666666666666679,-3.166666666666668,0.06366666666666665,-3.0,9.0,6.0,8.166666666666668,-0.16666666666666607,-1.5,-1.5,-7.833333333333332,5.5,25.0,10.941982004574356
1,0.0,0.0,0.0,9.666666666666664,-1.0,0.11200000000000004,-0.3333333333333339,-7.333333333333336,0.049000000000000044,-6.666666666666668,-3.333333333333332,-0.1466666666666666,-5.666666666666668,-0.6666666666666643,-6.333333333333336,4.333333333333332,1.666666666666666,2.0000000000000004,-1.6666666666666679,2.666666666666668,12.333333333333343,1.3333333333333335,9.980067725291647
1,0.0,0.0,0.0,-0.3333333333333357,1.6666666666666714,-0.01533333333333331,-1.333333333333334,-1.3333333333333286,-0.02633333333333332,-2.666666666666668,-5.666666666666668,0.06033333333333335,-0.6666666666666661,3.0,2.3333333333333357,-2.666666666666668,2.666666666666667,-1.0,2.9999999999999982,0.6666666666666679,-4.666666666666671,-1.666666666666666,-7.554356202982248
